 	 	160
ƚ	+	410
ɫ	+	619
ɬ	+	620
ɮ	B	622
Ĺ	L	313
ĺ	l	314
Ļ	L	315
Ľ	L	317
ľ	l	318
Ŀ	L	319
ŀ	l	320
Ł	L	321
Ｌ	L	65324
ｌ	l	65356
ʟ	L	671
Ḷ	L	7734
Ḹ	L	7736
Ḻ	L	7738
Ḽ	L	7740
Ǉ	LJ	455
ǈ	Lj	456
ǉ	lj	457
㏐	lm	13264
㏑	ln	13265
㏓	lx	13267
㏒	log	13266
ɱ	m	625
Ｍ	M	65325
ｍ	m	65357
Ḿ	M	7742
ḿ	m	7743
Ṁ	M	7744
ṁ	m	7745
Ṃ	M	7746
ṃ	m	7747
Ɯ	w	412
ɯ	w	623
ɰ	w	624
㎡	m2	13217
㎥	m3	13221
㎃	mA	13187
㎆	MB	13190
㏔	mb	13268
㎎	mg	13198
㎟	mm2	13215
㎜	mm	13212
㎳	ms	13235
㎷	mV	13239
㎹	MV	13241
㎽	mW	13245
㎿	MW	13247
㎣	mm3	13219
㏁	MQ	13249
㎧	m/s	13223
㎨	m/s2	13224
㎒	MHz	13202
㏕	mil	13269
㏖	mol	13270
Ñ	N	209
ñ	n	241
Ń	N	323
ń	n	324
Ņ	N	325
ņ	n	326
Ň	N	327
ň	n	328
ŉ	n	329
Ɲ	N	413
ƞ	n	414
ɲ	n	626
ɳ	n	627
ɴ	N	628
Ｎ	N	65326
ｎ	n	65358
Ṅ	N	7748
ṅ	n	7749
Ṇ	N	7750
ṇ	n	7751
Ṉ	N	7752
ṉ	n	7753
Ṋ	N	7754
ṋ	n	7755
ⁿ	n	8319
㎁	nA	13185
㎋	nF	13195
Ǌ	NJ	458
ǋ	Nj	459
ǌ	nj	460
㎚	nm	13210
㎱	ns	13233
㎵	nV	13237
㎻	nW	13243
Ŋ	N	330
ŋ	n	331
Ǿ	0	510
ɶ	CE	630
ɵ	e	629
ɷ	m	631
º	o	186
Ò	O	210
Ó	O	211
Ô	O	212
Õ	O	213
Ö	o	214
Ö	O	214
Ø	O	216
ò	o	242
ó	o	243
ô	o	244
õ	o	245
ö	o	246
ø	o	248
Ō	O	332
ō	o	333
Ŏ	O	334
ŏ	o	335
Ő	O	336
ő	o	337
Ɵ	O	415
Ơ	O	416
ơ	o	417
Ǒ	O	465
ǒ	o	466
Ǫ	O	490
ǫ	o	491
Ǭ	O	492
ǭ	o	493
ǿ	o	511
Ȍ	O	524
ȍ	o	525
Ȏ	O	526
ȏ	o	527
ȭ	o	557
ȯ	o	559
ȱ	o	561
Ｏ	O	65327
ｏ	o	65359
Ṍ	O	7756
ṍ	o	7757
Ṏ	O	7758
ṏ	o	7759
Ṑ	O	7760
ṑ	o	7761
Ṓ	O	7762
ṓ	o	7763
Ọ	O	7884
ọ	o	7885
Ỏ	O	7886
ỏ	o	7887
Ố	O	7888
ố	o	7889
Ồ	O	7890
ồ	o	7891
Ổ	O	7892
ổ	o	7893
Ỗ	O	7894
ỗ	o	7895
Ộ	O	7896
ộ	o	7897
Ớ	O	7898
ớ	o	7899
Ờ	O	7900
ờ	o	7901
Ở	O	7902
ở	o	7903
Ỡ	O	7904
ỡ	o	7905
Ợ	O	7906
ợ	o	7907
Ƣ	q	418
ƣ	q	419
Œ	CE	338
œ	oe	339
ɸ	o	632
Ƥ	P	420
ƥ	p	421
Ｐ	P	65328
ｐ	p	65360
Ṕ	P	7764
ṕ	p	7765
Ṗ	P	7766
ṗ	p	7767
㎀	pA	13184
㎩	Pa	13225
㎊	pF	13194
㏗	pH	13271
㏚	PR	13274
㎰	ps	13232
㎴	pV	13236
㎺	pW	13242
㏘	p.m.	13272
㏙	PPM	13273
Ｑ	Q	65329
ｑ	q	65361
ʠ	q	672
Ŕ	R	340
ŕ	r	341
Ŗ	R	342
ŗ	r	343
Ř	R	344
ř	r	345
Ʀ	R	422
Ȑ	R	528
ȑ	r	529
Ȓ	R	530
ȓ	r	531
ʀ	R	640
ʁ	R	641
Ｒ	R	65330
ｒ	r	65362
ʳ	r	691
ʴ	r	692
ʵ	r	693
ʶ	R	694
Ṙ	R	7768
ṙ	r	7769
Ṛ	R	7770
ṛ	r	7771
Ṝ	R	7772
ṝ	r	7773
Ṟ	R	7774
ṟ	r	7775
㎭	rad	13229
Ʃ	E	425
ʃ	f	643
ʆ	f	646
ƪ	l	426
ʅ	l	645
Ś	S	346
ś	s	347
Ŝ	S	348
ŝ	S	349
Ş	S	350
ş	s	351
Š	S	352
š	s	353
š	S	353
Ƨ	S	423
ƨ	s	424
Ș	S	536
ș	s	537
ʂ	s	642
Ｓ	S	65331
ｓ	s	65363
ˢ	s	738
Ṡ	S	7776
ṡ	s	7777
Ṣ	S	7778
ṣ	s	7779
Ṥ	S	7780
ṥ	s	7781
Ṧ	S	7782
